task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,avg_experience,juniors,mediors,seniors,tech_leads,predicted_duration_days
Deployment,Low,Senior,Python,High,12,3,1,24,1,17,False,2,False,4.16666667,1,1,0,1,3.56029125
Deployment,Low,Mid,Other,Critical,1,4,0,2,5,16,False,3,False,3.9375,1,2,0,1,0.5
Design Review,Medium,Junior,Java,High,2,2,0,4,9,17,True,3,False,2.375,1,1,0,0,1.02000938
Testing,Medium,Mid,Python,High,3,4,3,6,7,18,False,0,True,3.4375,1,2,1,0,1.47060942
Feature Dev,High,Mid,JavaScript,Low,9,4,3,18,3,12,False,3,False,3.875,0,3,1,0,4.72847719
Deployment,High,Tech Lead,Python,Critical,6,3,2,12,2,10,True,3,True,5.0,1,0,1,1,2.57956776
Code Review,Medium,Tech Lead,JavaScript,Medium,8,3,1,16,2,13,True,0,False,1.5,3,0,0,0,3.6054375
Feature Dev,Medium,Senior,Python,High,10,5,2,20,3,10,False,2,False,4.3,1,2,1,1,3.29751
Bug Fix,High,Tech Lead,Python,Low,1,2,3,2,5,18,False,2,True,3.625,1,0,1,0,1.19695393
Documentation,Medium,Tech Lead,Go,Medium,10,3,3,20,8,18,True,2,False,5.0,1,0,1,1,3.818115
Deployment,Low,Senior,Python,Low,7,4,2,14,10,15,False,1,True,3.5,2,1,0,1,3.1047995
Code Review,Medium,Mid,Python,High,4,5,3,8,6,11,False,3,False,4.3,1,2,1,1,1.722033
Code Review,Medium,Mid,Other,Critical,9,3,0,18,4,9,False,1,False,6.41666667,0,0,2,1,2.3791925
Design Review,Medium,Tech Lead,Go,High,8,4,2,16,8,10,True,2,True,4.5625,1,1,1,1,3.08509307
Bug Fix,Medium,Tech Lead,Other,High,2,2,3,4,8,9,True,0,False,2.375,1,1,0,0,1.15910156
Testing,High,Mid,Other,Medium,13,2,1,26,9,15,True,1,True,1.5,2,0,0,0,7.37554125
