task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,avg_experience,juniors,mediors,seniors,tech_leads,predicted_duration_days
Design Review,High,Junior,Other,Medium,7,3,1,14,1,14,False,1,False,4.16666667,1,1,0,1,2.93937917
Feature Dev,Medium,Tech Lead,Go,Low,8,4,2,16,7,9,False,3,True,3.625,2,0,2,0,3.97094775
Code Review,High,Tech Lead,Java,Low,3,3,1,6,8,17,False,2,False,5.0,1,0,1,1,1.488146
Refactoring,High,Junior,Other,Critical,3,3,0,6,5,13,True,3,False,3.5,1,1,1,0,1.34533665
Feature Dev,High,Tech Lead,C++,High,12,2,3,24,10,13,True,3,True,1.5,2,0,0,0,6.68060663
Deployment,Medium,Mid,C++,Low,11,5,0,22,6,12,False,2,False,2.7,3,1,1,0,4.736413
Deployment,Medium,Junior,Go,Critical,7,3,0,14,1,17,False,3,False,4.91666667,0,1,2,0,2.11568542
Code Review,High,Senior,Go,High,3,3,2,6,10,13,False,1,False,2.66666667,1,2,0,0,1.5486
Bug Fix,Low,Tech Lead,Java,Critical,9,2,1,18,2,16,False,1,False,3.25,0,2,0,0,2.78109375
Refactoring,High,Junior,Java,High,6,5,1,12,5,18,True,2,False,3.05,2,2,1,0,2.70111547
Refactoring,Medium,Mid,Other,Critical,9,3,2,18,1,13,True,2,False,2.66666667,1,2,0,0,3.537275
Documentation,Medium,Senior,Python,Critical,11,4,3,22,8,11,False,3,False,4.5625,1,1,1,1,3.51130219
Documentation,Medium,Junior,C++,High,3,4,3,6,1,9,True,1,False,4.5625,1,1,1,1,1.32651422
Deployment,High,Senior,Java,Low,8,4,1,16,2,18,False,1,False,2.375,2,2,0,0,4.24194375
Design Review,Medium,Senior,C++,Medium,13,2,3,26,8,13,False,3,False,1.5,2,0,0,0,6.09875
Deployment,High,Senior,Go,Critical,9,2,2,18,1,9,False,1,True,4.5,0,1,1,0,3.60285888
Refactoring,High,Tech Lead,Python,Medium,11,3,1,22,10,18,False,1,False,2.91666667,2,0,1,0,4.91462625
Testing,High,Junior,JavaScript,Critical,1,2,0,2,5,10,True,0,True,2.375,1,1,0,0,0.5
Feature Dev,Medium,Senior,Go,High,8,3,3,16,8,12,True,1,False,3.5,1,1,1,0,3.17962969
Code Review,Low,Mid,Python,Critical,11,3,3,22,1,15,True,0,True,2.08333333,2,1,0,0,4.31147784
Documentation,Medium,Tech Lead,Other,Critical,5,4,3,10,2,16,True,1,False,5.1875,1,0,2,1,1.72169944
Deployment,High,Mid,JavaScript,Critical,11,3,0,22,9,12,True,2,False,2.66666667,1,2,0,0,4.538065
Refactoring,High,Senior,Java,Critical,8,2,0,16,3,11,False,1,False,4.5,0,1,1,0,2.72703375
Bug Fix,Medium,Junior,Go,Low,1,4,1,2,10,14,True,1,False,3.5,2,1,0,1,0.65972156
Code Review,Medium,Senior,Other,Low,7,4,3,14,4,12,False,1,False,2.8125,1,3,0,0,3.53529688
Documentation,High,Tech Lead,C++,High,13,3,1,26,4,16,False,0,False,2.66666667,1,2,0,0,5.3331
Client Meeting,Medium,Mid,JavaScript,Medium,5,3,3,10,6,17,True,0,False,4.33333333,1,0,2,0,2.1360325
Code Review,Low,Senior,Python,Critical,13,5,0,26,4,15,False,2,False,2.2,3,2,0,0,4.10652
Bug Fix,High,Senior,JavaScript,High,3,2,2,6,10,10,False,1,False,2.375,1,1,0,0,1.5719625
Feature Dev,Low,Tech Lead,Go,Medium,10,4,0,20,9,11,True,1,False,1.5,4,0,0,0,3.982125
Client Meeting,Medium,Junior,Java,Medium,6,3,1,12,7,18,False,2,True,2.08333333,2,1,0,0,3.01239583
Code Review,Low,Senior,Other,Low,2,2,1,4,5,11,True,1,False,1.5,2,0,0,0,1.14835875
Client Meeting,Medium,Mid,Go,High,11,5,3,22,5,13,False,0,False,3.1,3,1,0,1,3.91867875
Design Review,Low,Tech Lead,Java,Low,3,3,3,6,6,18,True,3,False,2.66666667,1,2,0,0,2.043195
Testing,Medium,Mid,Java,Medium,8,3,3,16,4,16,False,1,False,2.91666667,2,0,1,0,3.47078125
